NAME,POS,PARTY,DIST,TERM
"Jarman, Beth S.",Representative,Democrat,55,1975-1976
"Jarman, LeGrand",Representative,Democrat,11,1949-1951
"Jarvis, Clara L.",Representative,Democrat,8,1945
"Jarvis, J. R.",Representative,Democrat,8,1933
"Jefferson, George",Representative,,20,1929
"Jefferson, George",Senator,,"11, 8",1931-1933
"Jeffs, A. Dean",Senator,Republican,15,1973-1982
"Jenkins, Bruce S.",Senator,Democrat,6,1959-1965
"Jenkins, Harrison E.",Senator,,6,1921-1923
"Jenkins, Joseph A.",Representative,Republican,62,1983-1986
"Jenkins, L. Rulon",Representative,Democrat,4,1941-1943
"Jenkins, L. Rulon",Senator,Democrat,4,1949-1957
"Jenkins, Merrill",Representative,Democrat,4,1959-1961
"Jenkins, Merrill",Senator,Democrat,"4, 12, 20",1963-1976
"Jenkins, Scott K.",Senator,Republican,20,2001-2016
"Jenkinson, Wallace H.",Representative,Democrat,8,1939
"Jensen, A. C.",Senator,Democrat,6,1951
"Jensen, D. Homer",Representative,Democrat,16,"1943-1945, 1949"
"Jensen, David",Senator,,4,1921
"Jensen, Jerrold S.",Representative,Republican,31,1989-1992
"Jensen, Joseph W.",Representative,Democrat,4,1935-1937
"Jensen, Lucinda P.",Representative,,1,1929
"Jensen, Martin",Representative,,18,1907-1909
"Jensen, Maurice",Representative,Democrat,16,1955
"Jensen, Moroni L.",Representative,,"8, 7","1965, 1969-1970"
"Jensen, Moroni L.",Senator,Democrat,6,1971-1980
"Jensen, Mrs. Albert",Representative,Democrat,8,1935-1941
"Jensen, Nephi U. S. C.",Representative,,8,1907
"Jensen, Shirley V.",Representative,Republican,51,1993-1997
"Jensen, T. W.",Representative,Democrat,14,1935-1937
"Jensen, Vivian N.",Representative,Democrat,30,1983-1984
"Jensen, Wayne A.",Representative,Republican,61,1977-1978
"Jensen, William C.",Representative,Democrat,4,1943-1945
"Jenson, David",Senator,,4,1923-1925
"Jeppson, Boyd H.",Representative,Republican,"43, 10",1981-1984
"Johnson, Abram",Representative,,14,1905
"Johnson, Bradley T.",Representative,Republican,"71, 70",1991-2006
"Johnson, Christine A.",Representative,Democrat,25,2007-2010
"Johnson, D. C.",Representative,,11,1901
"Johnson, Dan N.",Representative,Republican,4,2019
"Johnson, Duayne T.",Representative,Democrat,"31, 53",1979-1984
"Johnson, Frank",Representative,Republican,33,1983-1988
"Johnson, George W.",Representative,,23,1901
"Johnson, Henrietta B.",Representative,Democrat,1,1937
"Johnson, Joel H.",Representative,,26,1903
"Johnson, John E.",Representative,,9,1931
"Johnson, John H.",Representative,Republican,23,1951-1953
"Johnson, Joseph E.",Representative,,16,1903
"Johnson, Lawrence B.",Representative,Republican,3,"1937-1941, 1949-1955, 1961"
"Johnson, M. Keele",Representative,Republican,71,1993-2001
"Johnson, M. E.",Senator,,12,1897
"Johnson, Mary Lorraine",Representative,Democrat,9,1973-1976
"Johnson, Met",Representative,Republican,74,1993-1996
"Johnson, P. E.",Representative,,16,1919
"Johnson, Tillman D.",Representative,,4,1899
"Johnson, Val E.",Representative,Republican,11,1947
"Johnson, William",Representative,,3,1923
"Johnson, Willis",Senator,,10,1901-1907
"Johnston, Ed",Senator,Democrat,9,1939-1941
"Jolley, B. Manning",Senator,Republican,7,1947-1949
"Jones, David H.",Senator,Republican,7,1947-1949
"Jones, David M.",Representative,Democrat,"27, 25",1989-2001
"Jones, Elmer B.",Senator,,6,1896
"Jones, Evin",Representative,Democrat,16,1935
"Jones, George",Representative,,13,1913
"Jones, Jaren L.",Representative,Republican,8,1951-1957
"Jones, Lawrence W.",Representative,Republican,"18, 65",1963-1970
"Jones, Lorin V.",Senator,Republican,29,1997-2001
"Jones, Patricia W.",Representative,Democrat,40,2001-2006
"Jones, Patricia W.",Senator,Democrat,4,2007-2014
"Jones, Randall L.",Representative,,24,1923
"Jones, S. Garth",Representative,Republican,74,1973-1980
"Jones, Seth C.",Representative,,9,1911
"Jones, Thomas J.",Representative,,24,1905
"Jones, Thomas A.",Representative,Republican,27,1943-1945
"Jones, Uriah T.",Senator,,11,1919-1921
"Jones, Walter W.",Representative,,2,1917
"Jones, William N.",Senator,Republican,14,1979-1982
"Jorgensen, Cecil LaMar",Representative,Democrat,2,1963
"Jorgensen, Darrell L.",Representative,Democrat,"40, 47",1991-1994
"Jorgensen, Keith E.",Representative,Republican,59,1977-1982
"Jorgensen, S. M.",Representative,,18,"1921-1923, 1927-1931"
"Jorgenson, A. F.",Representative,,15,1929
"Joseph, Harry S.",Representative,,8,1905-1907
"Judd, C. DeMont",Representative,Democrat,"34, 47",1969-1980
"Judd, James",Representative,,25,1923
"Judd, Robert L.",Representative,,8,1913
"Judkins, Marsha",Representative,Republican,61,2019
"Julander, Paula F.",Representative,Democrat,24,1989-1992
"Julander, Paula F.",Senator,Democrat,"1, 2",1999-2005
"Julander, Rod O.",Senator,Democrat,13,1972
"Justesen, Craig M.",Representative,Democrat,15,1959
"Kaiser, Roland G.",Representative,Republican,8,1965
"Kanig, Lavinia L.",Representative,Republican,66,1983-1984
"Karras, Nolan E.",Representative,Republican,"50, 12",1981-1990
"Kastler, B. Z.",Representative,Republican,8,1963
"Kearns, T. F.",Representative,,14,1911
"Keddington, Alvin",Representative,Democrat,8,1933
"Kerr, Kleon",Representative,Republican,1,1953
"Kelley, Eugene W.",Representative,,19,1901
"Kelly, George J.",Senator,,4,1911-1913
"Kelly, James A.",Senator,Republican,8,1943-1945
"Kelly, John W.",Representative,,21,1915
"Kelly, William",Representative,,7,1919
"Kemp, John H.",Representative,,2,1927-1931
"Kendall, June",Senator,Democrat,13,1943
"Kennedy, John B.",Representative,,3,1919
"Kennedy, Michael S.",Representative,Republican,27,2013-2018
"Kenner, Scipio A.",Representative,,8,1897
"Kenney, Leo",Representative,,16,1925
"Kent, Melvin E.",Representative,Democrat,2,1937
"Kerr, Clifton G. M.",Representative,Republican,1,1941-1951
"Kerr, Clifton G. M.",Senator,Republican,1,1953-1955
"Kerr, Kleon",Representative,Republican,1,1955
"Kerr, Kleon",Senator,Republican,1,1957-1963
"Kerr, W. Edward",Representative,Republican,"54, 62",1971-1978
"Keyser, Malcolm A.",Representative,,8,1925
"Keyser, Malcolm A.",Senator,,6,1931-1933
"Kiefer, Sam F.",Representative,Democrat,8,1935
"Kiesel, Fred J.",Senator,,4,1899-1901
"Killian, J. Frank",Representative,Republican,16,"1921, 1927-1929, 1933"
"Killpack, Robert H. M.",Representative,Republican,44,1993-1999
"Killpack, Sheldon L.",Senator,Republican,21,2004-2009
"Kimball, Alonzo A.",Representative,,19,1913
"Kimball, Arthur L.",Senator,Democrat,5,1977-1981
"Kimball, Joseph",Representative,,2,1897
"Kimball, Margot Cannon",Representative,Democrat,4,1972
"Kimball, Oliver G.",Representative,,15,1897
"Kimball, Quince",Senator,,10,1917-1919
"King, Anna H.",Representative,,8,1913
"King, Brad",Representative,Democrat,69,"1997-2008, 2015-2016"
"King, Brian S.",Representative,Democrat,28,2009-2019
"King, Felshaw",Representative,Democrat,6,1965
"King, John",Representative,,23,1917-1919
"King, Volney E.",Representative,,22,1909
"Kinney, Antoinette B.",Senator,,6,1921-1923
"Kinney, Clesson S.",Representative,,8,1905
"Kiser, Todd E.",Representative,Republican,41,2003-2012
"Kitchen, Derek L.",Senator,Democrat,2,2019
"Knight, J. W.",Senator,,7,1919-1921
"Knight, John M.",Senator,,6,1931
"Knight, Newell",Senator,Republican,6,1947-1949
"Knight, William A.",Representative,,11,1921
"Knotwell, John",Representative,Republican,52,2013-2019
"Knowlton, E. Ute",Representative,Republican,"54, 17",1981-1986
"Knowlton, Franklin W.",Representative,Republican,"48, 53, 16","1967-1970, 1973-1974, 1977-1990"
"Knudson, Peter C.",Representative,Republican,2,1995-1998
"Knudson, Peter C.",Senator,Republican,"24, 17",1999-2018
"Koehn, Susan J.",Representative,Republican,18,1996-2000
"Krieble, M. H.",Representative,,8,1913
"Kuchler, Rudolph",Representative,,4,1905-1907
"Kuchler, Rudolph",Senator,,4,1909-1911
"Kwan, Karen",Representative,Democrat,34,2017-2019
"LaBarthe, Eurithe K.",Representative,,8,1897
"Lambert, Dan",Representative,,9,1901
"Lambert, John A.",Senator,Democrat,3,1963-1965
"Lambert, Roy G.",Representative,Democrat,9,"1959, 1963"
"Lamoreaux, Warwick C.",Representative,Democrat,8,1933-1935
"Lamoreaux, Warwick C.",Senator,Democrat,6,"1937-1939, 1945-1947"
"Lamph, William T.",Senator,,12,1919-1921
"Lane, Darrell T.",Representative,Democrat,8,1933
"Langston, Jacob H.",Representative,,19,1911
"Langton, Seth A.",Representative,,2,1901
"Lapish, Joseph",Representative,,11,1899
"Larsen, C. Wilford",Representative,Republican,11,"1953, 1957"
"Larsen, C. P.",Senator,,9,1903-1905
"Larsen, Carl E.",Representative,,16,1907
"Larsen, Edward C.",Representative,Democrat,4,1949-1957
"Larsen, Elliot",Representative,Democrat,18,1935
"Larsen, H. S.",Senator,,1,1901-1903
"Larsen, J. L.",Representative,Democrat,16,1959-1961
"Larsen, Lewis H.",Senator,Republican,10,1951
"Larsen, M. N.",Representative,,29,1923-1927
"Larsen, Marinus",Representative,,11,"1896, 1899"
"Larsen, Rulon J.",Representative,Republican,28,"1939, 1943"
"Larson, Lewis H.",Senator,Republican,10,1949
"Larson, Patricia B.",Representative,Democrat,10,1991-1999
"Larson, W. G.",Representative,Democrat,8,1947-1955
"Larson, W. G.",Senator,Democrat,6,1957
"Last, Bradley G.",Representative,Republican,71,2003-2019
"Latham, Howard P.",Representative,,2,1929
"Lavin, A. George",Representative,,8,1929
"Law, Albert A.",Representative,,2,1899
"Lawrence, George N.",Senator,,6,1901-1907
"Lawrence, M. Susan",Representative,Republican,36,2003-2006
"Layton, Dana L.",Representative,Republican,60,2013-2014
"Leary, John C.",Representative,Democrat,8,1941
"Leatham, Charles B.",Representative,Republican,52,1967-1972
"Leatham, Howard P.",Representative,,2,1927
"Leatham, John A.",Representative,,2,1923
"Leatham, William P.",Representative,Republican,2,1957-1961
"Leavitt, Dixie L.",Representative,Republican,24,1963
"Leavitt, Dixie L.",Senator,Republican,"11, 27, 29","1965-1976, 1989-1992"
"Leavitt, Ray H.",Representative,Democrat,11,1941
"Leavitt, Stanley A.",Representative,Democrat,"39, 35",1971-1980
"LeBaron, Donald R.",Representative,Republican,58,1983-1992
"LeBaron, George W.",Representative,,11,1929-1931
"Lee, Edwin C.",Representative,,15,1903
"Lee, Hyrum L.",Representative,Democrat,"20, 67","1945, 1971-1972"
"Lee, Orville",Representative,Republican,2,1947
"LeFevre, Clifford S.",Representative,Democrat,52,1975-1982
"Lemmon, Hyrum",Representative,,11,1896-1897
"Lerdahl, Floyd E.",Representative,Republican,27,1981-1982
"Lewis, A. B.",Senator,,11,1903-1905
"Lewis, David T.",Representative,Republican,"11, 8","1921, 1947"
"Lewis, John S.",Senator,,4,1925-1927
"Lewis, Ted D.",Representative,Democrat,22,1983-1992
"Lewis, Thomas D.",Representative,,8,1896
"Liddell, Abe",Representative,Democrat,28,1941
"Lifferth, David E.",Representative,Republican,2,2013-2016
"Liljenquist, Daniel R.",Senator,Republican,23,2009-2011
"Lindsay, Richard P.",Senator,Democrat,6,1965
"Lindsay, Richard P.",Representative,Democrat,28,1973-1976
"Lindsey, Guy W.",Representative,Democrat,8,1939
"Lindstrom, G. G.",Representative,Democrat,15,1935
"Lindstrom, G. G.",Senator,Democrat,14,1937-1939
"Lingard, David D.",Representative,Republican,27,1967
"Lisonbee, Karianne",Representative,Republican,14,2017-2019
"Liston, W. Frank",Representative,Democrat,8,1939
"Litvack, David",Representative,Democrat,"27, 26",2001-2012
"Livingston, Roger A.",Representative,Republican,25,1977-1980
"Lloyd, Benjamin T.",Representative,,8,1899
"Lloyd, Sherman P.",Senator,Republican,6,1955-1961
"Lockhart, Rebecca D.",Representative,Republican,64,1999-2014
"Lockman, Sue",Representative,Republican,38,1995-1997
"Lomax, Claude R.",Representative,Republican,13,1963-1965
"Long, James",Representative,,21,1907
"Loose, C. E.",Senator,,7,1903-1905
"Love, Dana C.",Representative,Republican,13,2003-2004
"Love, Stephen H.",Senator,,6,1901-1907
"Loveless, James A.",Representative,,11,1913
"Loveless, Ray E.",Representative,Democrat,11,1937
"Loveridge, Della L.",Representative,Democrat,"11, 8, 13","1943-1945, 1959-1970"
"Low, Frank D.",Representative,Democrat,20,1933-1937
"Lowe, Mrs. A. J.",Representative,,8,"1927, 1931"
"Lowe, Rozella",Representative,Democrat,4,1953
"Lowe, William I.",Representative,Democrat,4,1953
"Lowry, John",Representative,,14,1896
"Ludwig, Herbert R.",Representative,Republican,21,1967
"Ludwig, Paul F.",Representative,,8,1929
"Luke, Barlo T.",Representative,Democrat,21,1945-1951
"Luke, William J.",Representative,Democrat,21,1935
"Lund, Emil S.",Representative,,8,1915
"Lund, Louis P.",Representative,,11,1897
"Lund, Mrs. A. C.",Representative,Democrat,8,1933
"Lund, Mrs. A. C.",Senator,Democrat,6,1937-1939
"Lund, Ray P.",Representative,Republican,14,1939-1941
"Lund, Ray P.",Senator,Republican,9,1943-1949
"Lundell, Francis S.",Representative,Democrat,11,1937
"Lundell, Francis S.",Senator,Democrat,7,1939-1941
 ,Representative,Democrat,11,"1951-1953, 1961, 1965"
"Lunt, H. H.",Representative,Republican,24,1945-1947
"Lunt, Henry W.",Senator,,11,1911-1913
"Lunt, Larry V.",Representative,Republican,34,1989-1990
"Luther, Alfred",Representative,,23,1903-1905
"Lyman, Amy Brown",Representative,,8,1923
"Lyman, E. Ray",Representative,Republican,24,1949
"Lyman, Karl R.",Representative,Republican,27,1959
"Lyman, Phil",Representative,Republican,73,2019
"Lyman, Walter C.",Representative,,27,"1905, 1921"
"Lyman, William H.",Representative,,24,1925
"Lyon, Nancy S.",Representative,Republican,20,1989-1994
"Mabey, Charles R.",Representative,,6,1913-1915
"Mabey, Rendell N.",Representative,Republican,8,1943-1947
"Mabey, Rendell N.",Senator,Republican,15,1953-1955
"Mace, J. H.",Representative,,14,1917
"Macfarlane, Grant",Representative,Democrat,8,1935
"Macfarlane, Grant",Senator,Democrat,6,1939-1945
"Macfarlane, H. A.",Representative,Democrat,4,"1939-1941, 1959"
"Macfarlane, M. James",Representative,Democrat,8,"1959-1961, 1965"
"Macfarlane, M. James",Senator,Democrat,"9, 10",1971-1978
 ,Representative,Democrat,40,1983
"Mackay, J. Rex",Senator,Republican,11,1967
"Madsen, Alfred J.",Representative,Democrat,11,1965
"Madsen, Anthon",Representative,,15,1911
"Madsen, C. M.",Representative,,14,1921
"Madsen, Ernest",Representative,,14,1931
"Madsen, Gordon A.",Representative,Republican,8,1969-1970
"Madsen, Harry W.",Representative,Republican,8,1957-1961
"Madsen, John P.",Representative,Democrat,28,1945
"Madsen, Mark B.",Senator,Republican,13,2005-2015
"Madsen, N. Halvor",Representative,Republican,11,1957
"Maeser, Mrs. Sherwin",Representative,Democrat,2,1935
"Magleby, J. E.",Representative,Republican,18,1933
"Mahoney, Jack C.",Representative,Democrat,20,"1957-1961, 1965"
"Major, Donald H.",Representative,Republican,6,1947
"Maloy, A. Cory",Representative,Republican,6,2017-2019
"Mangan, Daniel",Representative,,8,1897
"Mansell, L. Alma",Senator,Republican,"10, 9",1995-2006
"Mansfield, M. W.",Representative,,22,"1896, 1899"
"Mantes, Ernest G.",Senator,Democrat,"13, 25",1959-1970
"Mantes, George",Senator,Democrat,13,1991-1999
"Manwaring, Ashel",Representative,Democrat,12,"1961, 1965"
"Marble, J. Frank",Representative,Democrat,6,1949
"Marchant, Beatrice",Representative,Democrat,3,1969-1972
"Marchant, Franklin W.",Representative,,9,1913
"Marks, Charles E.",Representative,,8,1905-1907
"Marks, Charles E.",Senator,,6,1909-1911
"Marriott, Gilbert E.",Representative,Democrat,44,1973-1976
"Marriott, Hyrum W.",Representative,,4,1913
"Marsden, L. N.",Representative,Republican,24,1941-1943
"Marsden, L. N.",Senator,Republican,11,1949
"Marsden, Lucius N.",Senator,,11,1927-1929
"Marthakis, P. S.",Representative,Democrat,8,1935-1939
"Marthakis, P. S.",Senator,Democrat,6,1949-1951
"Martin, V. P.",Representative,,27,1897
"Mascaro, Steven R.",Representative,Republican,47,2002-2010
"Mason, Wayne N.",Representative,Democrat,1,1937-1939
"Masters, I. H.",Representative,,11,1919
"Masur, Dorothea E.",Representative,Republican,46,1981-1982
"Mather, J. Lynden",Representative,Republican,7,1967
"Matheson, Franklyn B.",Representative,Republican,"15, 16",1969-1976
"Matheson, Ivan M.",Senator,Republican,29,1977-1988
"Mathias, John B.",Representative,Democrat,1,1945
"Mathis, John G.",Representative,Republican,55,2005-2014
"Mathis, W. B.",Representative,Democrat,25,1937
"Matthews, C. E.",Representative,Democrat,8,1941
"Matthews, Tom",Representative,Democrat,69,1993-1997
"Maughan, Peter M.",Representative,,2,"1896, 1901"
"Maughan, William H.",Representative,,2,1905-1907
"Maw, Herbert B.",Senator,Democrat,6,1929-1937
"Maw, Wilmer J.",Representative,Democrat,4,1931-1939
"Maxfield, Conrad",Representative,Republican,39,1989-1990
"Maxfield, Hiett E.",Representative,,22,1897
"Maxfield, Richard L.",Representative,Republican,"39, 64",1981-1986
"Mayers, Leland A.",Representative,Republican,29,1949
"Mayhew, E. J.",Representative,Republican,17,1963-1965
"Mayne, Ed",Senator,Democrat,"11, 5",1995-2007
"Mayne, Karen",Senator,Democrat,5,2008-2019
"McAdams, Benjamin M.",Senator,Democrat,2,2010-2012
"McAffee, Boyd H.",Representative,Democrat,11,1965
"McAllister, LeRay L.",Representative,Republican,36,1975-1982
"McAllister, LeRay L.",Senator,Republican,15,1983-1999
"McBride, J. G.",Representative,,17,1925
"McCarthy, Wilson",Senator,,6,1929-1931
"McCartney, Ty",Representative,Democrat,31,2001-2005
"McCarty, Ray S.",Representative,,8,1925-1927
"McCaskell, George W.",Representative,,21,1923
"McCay, Daniel",Representative,Republican,"52, 41",2012-2018
"McCay, Daniel",Senator,Republican,11,2019
"McConkie, Oscar W.",Senator,,12,1923-1925
"McConkie, Oscar W.",Representative,Democrat,8,1955
 ,Senator,Democrat,6,1965
"McCoy, Scott D.",Senator,Democrat,2,2005-2009
"McCracken, James B.",Representative,,4,1909
"McCrea, William M.",Representative,,8,1905
"McCullough, R. Verne",Representative,,8,1925-1927
"McDonald, Storm",Representative,Democrat,10,1941
"McFarland, Archibald",Representative,,4,1901-1903
"McFarlane, Grant",Representative,,8,1929
"McGean, Madge",Representative,Democrat,8,1941
"McGee, Rosalind J.",Representative,Democrat,28,2003-2008
"McGregor, Joseph F.",Representative,,24,1901
"McIff, Kay L.",Representative,Republican,70,2007-2016
"McIntyre, A. R.",Representative,,4,1921
"McKay, Angus",Representative,,4,1897
"McKay, D. D.",Representative,,4,1917-1919
"McKay, David",Senator,,4,"1896, 1903-1905"
"McKay, K. Gunn",Representative,Democrat,4,1963-1965
"McKay, Thomas E.",Representative,,4,1919
"McKay, Thomas E.",Senator,,4,1921-1923
"McKeachnie, Gayle F.",Representative,Republican,"68, 56",1979-1986
"McKell, Michael K.",Representative,Republican,66,2013-2019
"McKell, William E.",Representative,,8,1923-1925
"McKinney, James W.",Representative,,8,1917
"McKinney, James W.",Senator,,6,1919
"McKinnon, Arch",Representative,Democrat,3,"1917, 1933"
"McKinnon, Lynn",Representative,Democrat,3,1965
"McKinnon, Robert",Representative,,3,1903
"McMillan, William",Representative,,8,"1901, 1907-1909"
"McMillin, Hugh A.",Representative,,8,1909
"McMullin, Dix H.",Representative,Republican,26,1977-1982
"McMullin, Dix H.",Senator,Republican,5,1983-1992
"McMullin, Thomas H.",Senator,Democrat,6,1959
"McMurrin, James A.",Senator,Democrat,2,1939-1945
"McPolin, Ed J.",Representative,Democrat,9,"1947-1949, 1955"
"McQuarrie, John G.",Representative,,25,1899
"McRae, Daniel",Representative,,8,"1903, 1907-1913"
"McShane, Clif",Representative,Republican,20,1939-1941
"McShane, O. F.",Representative,,20,"1915, 1921"
"McShane, Orrice C.",Senator,Republican,8,1947-1949
"Meador, Carroll J.",Representative,Democrat,17,"1937, 1943"
"Mecham, Allan E.",Representative,Republican,"8, 5",1965-1971
"Mecham, Allan E.",Senator,Republican,3,"1972, 1974"
"Mecham, Paul F.",Representative,Republican,11,1979-1982
"Meeks, Heber J.",Representative,,26,"1907, 1915"
"Meeks, R. Arthur",Representative,,22,"1911, 1921-1923"
"Melich, Mitchell",Senator,Republican,12,1943-1949
"Mellor, Archie M.",Representative,,14,1927-1929
"Memmott, Clifton N.",Representative,Democrat,28,1961-1965
"Memmott, Frank C.",Representative,Democrat,15,1959
"Memmott, Frank C.",Senator,Democrat,14,1961-1963
"Mendenhall, Bayard W.",Representative,Democrat,8,1933
"Menlove, Ronda Rudd",Representative,Republican,1,2005-2014
"Merrill, Alvin S.",Representative,Republican,14,1981-1982
"Merrill, Clarence L.",Representative,Democrat,8,1943
"Merrill, Frances Hatch",Representative,Republican,32,1983-1986
"Merrill, Thomas H.",Representative,,2,1903-1905
"Messinger, Arlo P.",Representative,Democrat,20,1953-1955
"Metcalf, William",Representative,,14,1903
"Mickelson, Evan H.",Representative,Democrat,18,1961
"Midgley, Grant",Representative,Democrat,8,1941-1943
"Midgley, Grant",Senator,Democrat,6,1945-1947
"Miles, Arthur F.",Representative,Democrat,25,1933
"Miles, E. R.",Representative,,2,1919
"Miles, Kelly B.",Representative,Republican,11,2017-2019
"Miller, Albert E.",Senator,,11,1907-1909
"Miller, Albert E.",Representative,Republican,25,1939-1941
"Miller, Austin P.",Representative,,8,1929
"Miller, Clyde L.",Representative,Democrat,8,1951
"Miller, Clyde L.",Senator,Democrat,6,1959-1963
"Miller, George M.",Representative,,"16, 15","1905, 1931"
"Miller, George M.",Senator,Democrat,14,"1933-1935, 1941-1943"
"Miller, Glen",Senator,,6,1896
"Miller, J. P.",Representative,,17,"1907, 1911"
"Miller, Justin J.",Representative,Democrat,40,2015
"Miller, Miles E.",Representative,,8,"1927, 1931"
"Miller, Reuben G.",Senator,,12,1896
"Miller, Reuben G.",Representative,,15,1899
"Milliman, Fred J.",Representative,Democrat,13,1941-1945
"Milliman, Fred J.",Senator,Democrat,13,1949-1951
"Millner, Ann",Senator,Republican,18,2015-2019
"Mills, David",Representative,,13,1921
"Mills, John M.",Representative,,"8, 4","1907, 1931"
"Milne, Donald B.",Representative,Republican,21,1969-1970
"Milner, Joanne R.",Representative,Democrat,25,1987-1992
"Mitchell, Dale W.",Representative,Democrat,25,1973-1976
"Mitchell, Daniel F.",Representative,Democrat,28,1933-1937
"Mitchell, J. Harold",Representative,Republican,"24, 68","1957, 1965-1972"
"Mitchell, Mrs. Louie C.",Representative,Democrat,8,1949
"Mohr, A. P.",Representative,,17,1901
"Molyneux, Alma",Representative,,17,1903
"Money, Eldon A.",Representative,Democrat,41,1975-1979
"Money, Eldon A.",Senator,Democrat,17,1980-1997
"Monroe, James Tim",Representative,Democrat,8,1963
"Monroe, LaMar Ralph",Representative,Republican,19,1961-1965
"Monson, E. E.",Representative,Democrat,8,1933-1935
"Monson, Harley",Representative,Republican,2,1953-1955
"Monson, James",Representative,,14,1913
"Monson, Joseph",Representative,,2,1896
"Monson, Joseph",Senator,,2,1897
"Montgomery, Robert F.",Senator,Republican,19,1993-2001
"Moody, Donald M.",Representative,Democrat,19,1937
"Moody, H. Craig",Representative,Republican,43,1983-1992
"Moody, Joseph M.",Representative,Republican,68,1983-1992
"Moran, Tim",Representative,Democrat,66,1985-1997
"Morgan, Karen W.",Representative,,46,1999-2008
"Morgan, Karen W.",Senator,Democrat,8,2009-2012
"Morley, Michael T.",Representative,Republican,66,2002-2012
"Morrill, Charles",Representative,,21,1896
"Morrill, McKinley",Senator,Republican,10,1941-1943
"Morrill, McKinley",Representative,Republican,21,1955
"Morris, Andrew",Representative,,20,1925
"Morris, David H.",Representative,,25,"1901-1903, 1909-1915"
"Morris, F. E.",Representative,,8,1919
"Morris, Nephi L.",Representative,,8,1901
"Morrison, A. W.",Representative,,7,1921
"Morrison, S. W.",Representative,,8,1921
"Morrison, Seth W.",Representative,,8,1896
"Mortimer, Doyle M.",Representative,Republican,59,1993-1997
"Moss, Carol Spackman",Representative,Democrat,37,2001-2019
"Moss, James R.",Representative,Republican,59,1983-1986
"Moss, Jefferson",Representative,Republican,2,2017-2019
"Moulton, Addison C.",Representative,Democrat,10,1945
"Mozley, Frank",Representative,,8,1923
"Mozley, Frank J.",Representative,Republican,8,1943
"Muhlestein, Robert M.",Senator,Republican,17,1997-2001
"Muir, Vern B.",Senator,Republican,2,1951-1953
"Mulhall, Alla",Representative,Democrat,8,1965
"Munk, Cyril K.",Representative,Democrat,2,1949-1951
"Munson, Voyle",Representative,Republican,22,1965
"Murch, John A.",Representative,Democrat,2,1947-1949
"Murdoch, William",Representative,Democrat,8,1935
"Murdock, George C.",Representative,Republican,20,1943
"Murdock, Jean Z.",Representative,Democrat,6,1943
"Murdock, John R.",Representative,,20,1899
"Murdock, John M.",Representative,,20,1909
"Murdock, Joseph R.",Representative,,10,1896-1897
"Murdock, Joseph R.",Senator,,5,1901-1903
"Murdock, Joseph R.",Representative,Republican,20,1947
"Murdock, Lloyd C.",Representative,Democrat,4,1955
"Murray, Joseph G.",Representative,Republican,8,1995-2006
"Musselman, Calvin R.",Representative,Republican,9,2019
"Musser, Burton W.",Senator,,6,1929-1931
"Musser, Mrs. Burton W.",Senator,Democrat,6,1933-1935
"Myers, Ambrose",Representative,Republican,23,1943
"Myers, Mitchell V.",Representative,Republican,71,1981-1982
"Myrin, Alarik",Representative,Republican,"67, 55",1981-1986
"Myrin, Alarik",Senator,Republican,26,1987-1999
"Nalder, Francis H.",Representative,,6,1917-1919
"Nalder, Rebecca A.",Representative,Democrat,"48, 53","1971-1972, 1975-1976"
"Nash, Albert H.",Representative,,8,1903
"Naylor, Samuel",Representative,,15,1923
"Nebeker, Aquila",Representative,,3,1896
"Nebeker, Aquila",Senator,,3,1897-1899
"Nebeker, Byron D.",Representative,,12,"1911, 1915"
"Nebeker, Lee S.",Representative,,29,1931
"Nebeker, William P.",Representative,,8,1896
"Nebeker, William G.",Senator,,1,1897-1899
"Neff, David",Representative,,8,1931
"Nelson, Frank V.",Representative,Republican,"8, 6",1965-1970
"Nelson, Hyrum A.",Representative,,16,1909
"Nelson, Lawrence E.",Senator,Democrat,6,1937-1939
"Nelson, Lowell A.",Representative,Republican,57,1993-2001
"Nelson, Merrill F.",Representative,Republican,"21, 68","1991-1992, 2013-2019"
"Nemelka, David R.",Representative,Democrat,3,1973-1976
"Neslen, C. Clarence",Representative,,8,1931
"Neslen, C. Clarence",Senator,Democrat,6,1933-1935
"Neuenschwander, Paul A.",Representative,Republican,20,2007-2008
"Newbold, Merlynn T.",Representative,Republican,50,2001-2012
"Newell, M. Clark",Representative,Democrat,13,1961
"Newey, Joseph L.",Representative,Democrat,4,1945-1947
"Newman, Frank R.",Representative,,8,1919
"Newman, Harold T.",Representative,Democrat,"25, 29",1971-1978
"Newman, J. R.",Representative,Democrat,8,1933
"Nicholes, Lyle B.",Representative,Democrat,8,1933-1935
"Nichols, Joseph Irving",Representative,Democrat,8,1941
"Niederhauser, Wayne L.",Senator,Republican,9,2007-2018
"Nielsen, Emil K.",Senator,Democrat,7,1943-1945
"Nielsen, Glade",Senator,Republican,20,1987-1992
"Nielsen, Hans B.",Representative,Democrat,2,1939
"Nielsen, James L.",Representative,Republican,14,1943-1947
"Nielsen, Joseph F.",Representative,Democrat,2,1949
"Nielsen, Norman L.",Representative,Republican,60,1991-1997
"Nielsen, Ray",Representative,Democrat,69,1973-1992
"Nielsen, Swen C.",Representative,Republican,64,1998-1999
"Nielson, Francis",Representative,,27,"1909, 1913, 1919"
"Nielson, Howard C.",Representative,Republican,"40, 37",1967-1974
